pos,nom,t_officiel_5k,t_officiel_10k,t_officiel_15k,t_officiel_20k,t_officiel_25k,t_officiel_30k,t_officiel_35k,t_officiel_40k,temps_tot
1,TADESSE ABRAHAM,00:14:45,00:29:30,00:44:34,00:59:29,01:14:08,01:28:55,01:43:44,01:58:35,02:05:01
2,COLLINS KIPKURUI KIPKORIR,00:14:46,00:29:31,00:44:35,00:59:30,01:14:08,01:28:55,01:43:44,01:59:15,02:06:44
3,EDMOND KIPNGETICH,00:14:46,00:29:31,00:44:35,00:59:30,01:14:08,01:28:55,01:44:00,02:00:08,02:07:21
4,ILIASS AOUANI,00:14:46,00:29:31,00:44:35,00:59:30,01:14:27,01:29:54,01:45:19,02:00:56,02:08:05
5,BERHANE TESFAY,00:14:46,00:29:31,00:44:35,00:59:30,01:14:34,01:29:54,01:45:57,02:02:40,02:10:19
6,GEOFFREY KIMUTAI KOECH,00:14:46,00:29:31,00:44:36,00:59:30,01:14:34,01:30:18,01:46:39,02:03:36,02:11:03
7,SAHLESILASSIE NIGUSSIE BEKELE,00:14:47,00:29:47,00:44:53,00:59:43,01:15:47,01:32:37,01:49:36,02:06:02,02:13:10
8,GADISA BEKELE GUTAMA,00:14:58,00:29:52,00:45:22,01:01:08,01:16:59,01:33:20,01:50:26,02:08:28,02:16:25
9,ARTUR BOSSY ANGUERA,00:15:01,00:29:53,00:45:31,01:01:40,01:17:34,01:33:23,01:50:38,02:10:19,02:19:11
10,OLLE MEIJER,00:16:35,00:33:01,00:49:37,01:06:10,01:22:25,01:38:34,01:54:56,02:11:56,02:19:28
11,DANIEL ?OCHOWSKI,00:16:35,00:33:01,00:49:37,01:06:11,01:22:31,01:38:36,01:55:14,02:12:10,02:19:29
12,DEGITU AZIMERAW,00:16:35,00:33:01,00:49:37,01:06:11,01:22:45,01:39:00,01:55:35,02:12:14,02:19:52
13,RALF ULMER,00:16:35,00:33:01,00:49:38,01:06:12,01:22:45,01:39:06,01:55:36,02:12:38,02:19:55
14,SHUKO GENEMO WOTE,00:16:35,00:33:02,00:49:38,01:06:12,01:22:46,01:39:07,01:56:28,02:13:54,02:21:35
15,LUIS FIGUEROA GARCIA-CUBILLANA,00:16:36,00:33:02,00:49:38,01:06:12,01:22:46,01:39:12,01:56:29,02:14:32,02:22:02
16,RUBEN PALOMEQUE BARRERA,00:16:36,00:33:03,00:49:39,01:06:12,01:22:46,01:39:13,01:56:38,02:14:35,02:22:19
17,MESERET DINKE MELEKA,00:16:36,00:33:03,00:49:39,01:06:13,01:22:46,01:39:32,01:57:26,02:14:44,02:22:58
19,ADRIEN BETRON,00:16:37,00:33:03,00:49:39,01:06:13,01:22:49,01:39:57,01:57:31,02:15:20,02:23:08
20,DAVID DALMAU NAVARRO,00:16:37,00:33:04,00:50:04,01:06:57,01:23:40,01:40:30,01:57:32,02:15:37,02:23:26
21,ROMUALD BRUN,00:16:38,00:33:07,00:50:05,01:06:57,01:23:41,01:40:31,01:58:04,02:16:48,02:24:21
22,ZINAS GERADO SENBETA,00:16:38,00:33:07,00:50:06,01:06:58,01:23:41,01:41:13,01:58:04,02:16:49,02:24:45
23,ANDERS GRAHL,00:16:39,00:33:08,00:50:06,01:07:15,01:24:18,01:41:14,01:59:04,02:17:05,02:24:51
24,BOULAID KAOUTAR,00:16:39,00:33:11,00:50:14,01:07:52,01:24:25,01:41:30,01:59:05,02:17:07,02:25:00
25,BRICE DENIS,00:17:00,00:34:09,00:51:02,01:07:53,01:24:26,01:41:31,01:59:05,02:17:08,02:25:03
26,CARLES MONTLLOR,00:17:01,00:34:09,00:51:03,01:07:53,01:24:26,01:41:31,01:59:05,02:17:40,02:25:03
27,CAYETANO REDONDO HERREROS,00:17:01,00:34:10,00:51:03,01:07:53,01:24:27,01:41:31,01:59:22,02:17:42,02:25:58
28,VICTOR OLIVIER,00:17:01,00:34:11,00:51:04,01:07:54,01:25:19,01:42:40,02:00:12,02:18:23,02:26:03
29,TIM VROMAN,00:17:11,00:34:11,00:51:04,01:08:23,01:25:19,01:42:59,02:00:36,02:18:25,02:26:10
30,SISAY CORNELIS,00:17:12,00:34:11,00:51:09,01:08:23,01:25:34,01:43:03,02:00:43,02:18:41,02:26:14
31,CLEMENT D ANASTASI,00:17:13,00:34:11,00:51:18,01:08:24,01:25:49,01:43:04,02:00:52,02:18:41,02:26:20
32,JAVIER PEREZ GARCIA,00:17:13,00:34:12,00:51:19,01:08:31,01:25:49,01:43:09,02:01:12,02:18:43,02:26:30
33,CARLA SALOME ROCHA,00:17:14,00:34:12,00:51:22,01:08:38,01:25:58,01:43:13,02:01:20,02:18:45,02:26:47
34,JONATHAN ROMEO,00:17:14,00:34:13,00:51:24,01:08:39,01:25:58,01:43:21,02:01:21,02:19:39,02:27:22
35,DANIEL BARALDES DIAZ-GUERRA,00:17:14,00:34:13,00:51:34,01:08:41,01:25:58,01:43:52,02:01:31,02:19:52,02:27:38
36,IÑAKI RUBIO SEGARRA,00:17:14,00:34:14,00:51:34,01:08:41,01:26:01,01:43:55,02:01:40,02:20:07,02:28:06
37,PAU CASTELLVELL BELLA,00:17:15,00:34:17,00:51:35,01:08:41,01:26:01,01:43:56,02:01:51,02:20:12,02:28:11
38,JOSEP DIAZ CARRETERO,00:17:15,00:34:18,00:51:35,01:08:41,01:26:06,01:43:56,02:01:59,02:20:25,02:28:27
39,RAIT RATASEPP,00:17:17,00:34:19,00:51:35,01:08:45,01:26:11,01:43:57,02:02:21,02:20:46,02:28:28
40,JORDI ALSINA CASAS,00:17:21,00:34:20,00:51:46,01:09:09,01:26:24,01:43:58,02:02:23,02:20:47,02:28:56
41,DANIEL MODREGO MUÑOZ,00:17:21,00:34:21,00:51:46,01:09:09,01:26:24,01:43:59,02:02:24,02:20:53,02:29:06
42,ALEXANDER MAURO,00:17:22,00:34:25,00:51:47,01:09:09,01:26:25,01:44:23,02:02:24,02:20:54,02:29:25
43,MATEUSZ KALUZA,00:17:22,00:34:26,00:52:04,01:09:30,01:26:38,01:44:24,02:02:24,02:21:04,02:29:27
45,ARTURO GINOSA,00:17:22,00:34:26,00:52:07,01:09:30,01:26:38,01:44:39,02:02:55,02:21:18,02:29:29
46,MASSIMILIANO MILANI,00:17:22,00:34:27,00:52:08,01:09:30,01:26:45,01:44:40,02:02:58,02:21:30,02:29:34
47,ANTONIO DAVIA INIESTA,00:17:23,00:34:27,00:52:08,01:09:38,01:27:03,01:44:41,02:03:05,02:21:45,02:29:37
48,MATTHIEU LESPINE,00:17:23,00:34:28,00:52:08,01:09:38,01:27:03,01:44:53,02:03:29,02:21:45,02:29:41
49,ALEX CERVERO ORFILA,00:17:23,00:34:32,00:52:09,01:09:38,01:27:03,01:45:21,02:03:35,02:22:01,02:29:45
50,JORDI SECO TORRA,00:17:23,00:34:35,00:52:10,01:09:39,01:27:04,01:45:35,02:03:36,02:22:05,02:29:46
